




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (5409)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (expected)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (over/under)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	HH3K9ac_H1.intersect_with_DeepZ.genes_uniq.txt (FDR)
negative regulation of RNA biosynthetic process (GO:1902679)	1301	431	341.69	+	1.26	2.31E-05	8.46E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	429	340.64	+	1.26	2.57E-05	9.26E-04
phosphorylation (GO:0016310)	877	290	230.33	+	1.26	6.78E-04	1.68E-02
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1161	925.01	+	1.26	2.79E-13	2.77E-11
regulation of gene expression (GO:0010468)	4922	1619	1292.70	+	1.25	2.91E-19	4.55E-17
cytoskeleton organization (GO:0007010)	1212	398	318.32	+	1.25	8.38E-05	2.68E-03
carbohydrate derivative metabolic process (GO:1901135)	1008	330	264.74	+	1.25	4.72E-04	1.21E-02
positive regulation of metabolic process (GO:0009893)	3820	1250	1003.27	+	1.25	1.24E-13	1.27E-11
regulation of cellular component organization (GO:0051128)	2390	779	627.70	+	1.24	3.95E-08	2.26E-06
phosphorus metabolic process (GO:0006793)	1835	598	481.94	+	1.24	2.29E-06	1.01E-04
regulation of macromolecule metabolic process (GO:0060255)	6340	2066	1665.12	+	1.24	1.14E-24	2.60E-22
regulation of metabolic process (GO:0019222)	6874	2233	1805.36	+	1.24	6.36E-27	1.76E-24
phosphate-containing compound metabolic process (GO:0006796)	1808	586	474.85	+	1.23	4.77E-06	1.99E-04
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	524	427.57	+	1.23	3.15E-05	1.11E-03
positive regulation of transcription, DNA-templated (GO:0045893)	1628	524	427.57	+	1.23	3.15E-05	1.10E-03
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1118	912.66	+	1.22	1.40E-10	1.09E-08
positive regulation of RNA biosynthetic process (GO:1902680)	1629	524	427.83	+	1.22	3.56E-05	1.24E-03
regulation of transcription, DNA-templated (GO:0006355)	3474	1117	912.40	+	1.22	1.59E-10	1.23E-08
regulation of RNA biosynthetic process (GO:2001141)	3480	1118	913.98	+	1.22	1.86E-10	1.42E-08
regulation of transferase activity (GO:0051338)	1033	331	271.30	+	1.22	1.43E-03	3.21E-02
regulation of protein modification process (GO:0031399)	1654	528	434.40	+	1.22	5.70E-05	1.91E-03
cell death (GO:0008219)	1086	344	285.22	+	1.21	2.27E-03	4.74E-02
regulation of programmed cell death (GO:0043067)	1532	480	402.36	+	1.19	5.37E-04	1.37E-02
regulation of cell death (GO:0010941)	1668	520	438.08	+	1.19	4.25E-04	1.11E-02
regulation of apoptotic process (GO:0042981)	1493	464	392.12	+	1.18	1.17E-03	2.72E-02
intracellular signal transduction (GO:0035556)	1677	520	440.44	+	1.18	6.55E-04	1.62E-02
regulation of transcription by RNA polymerase II (GO:0006357)	2595	794	681.54	+	1.17	6.47E-05	2.13E-03
establishment of localization (GO:0051234)	4631	1404	1216.27	+	1.15	1.02E-07	5.60E-06
positive regulation of cellular process (GO:0048522)	5741	1725	1507.80	+	1.14	8.39E-09	5.35E-07
negative regulation of cellular process (GO:0048523)	4902	1471	1287.44	+	1.14	3.11E-07	1.62E-05
transport (GO:0006810)	4476	1343	1175.56	+	1.14	1.42E-06	6.48E-05
negative regulation of biological process (GO:0048519)	5501	1625	1444.76	+	1.12	1.24E-06	5.71E-05
localization (GO:0051179)	5831	1717	1531.43	+	1.12	8.84E-07	4.21E-05
positive regulation of biological process (GO:0048518)	6331	1851	1662.75	+	1.11	1.11E-06	5.20E-05
cellular process (GO:0009987)	15495	4470	4069.55	+	1.10	7.06E-32	2.54E-29
biological_process (GO:0008150)	17851	4954	4688.33	+	1.06	3.27E-24	7.19E-22
cellular response to stimulus (GO:0051716)	6807	1664	1787.77	-	.93	1.40E-03	3.15E-02
response to stimulus (GO:0050896)	8540	2041	2242.92	-	.91	6.45E-07	3.15E-05
response to chemical (GO:0042221)	4381	1025	1150.61	-	.89	1.66E-04	4.88E-03
multicellular organismal process (GO:0032501)	6926	1543	1819.02	-	.85	7.14E-13	6.84E-11
tissue development (GO:0009888)	1729	384	454.10	-	.85	1.74E-03	3.79E-02
cell surface receptor signaling pathway (GO:0007166)	2495	537	655.28	-	.82	6.73E-06	2.72E-04
signal transduction (GO:0007165)	5227	1123	1372.80	-	.82	1.09E-12	1.03E-10
immune system process (GO:0002376)	2903	621	762.43	-	.81	3.99E-07	2.03E-05
cell communication (GO:0007154)	5656	1203	1485.47	-	.81	4.41E-15	4.91E-13
epithelium development (GO:0060429)	1113	235	292.31	-	.80	1.52E-03	3.39E-02
signaling (GO:0023052)	5565	1164	1461.57	-	.80	8.17E-17	1.07E-14
negative regulation of multicellular organismal process (GO:0051241)	1014	212	266.31	-	.80	1.70E-03	3.74E-02
animal organ morphogenesis (GO:0009887)	956	199	251.08	-	.79	2.07E-03	4.42E-02
regulation of immune system process (GO:0002682)	1717	357	450.95	-	.79	2.03E-05	7.62E-04
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	328	418.38	-	.78	2.25E-05	8.27E-04
response to external stimulus (GO:0009605)	2525	519	663.16	-	.78	3.43E-08	1.98E-06
localization of cell (GO:0051674)	1109	225	291.26	-	.77	2.38E-04	6.63E-03
cell motility (GO:0048870)	1109	225	291.26	-	.77	2.38E-04	6.62E-03
regulation of response to external stimulus (GO:0032101)	1199	241	314.90	-	.77	6.94E-05	2.27E-03
locomotion (GO:0040011)	1345	267	353.25	-	.76	1.04E-05	4.05E-04
cation transmembrane transport (GO:0098655)	641	126	168.35	-	.75	2.12E-03	4.49E-02
cell-cell signaling (GO:0007267)	1131	222	297.04	-	.75	3.08E-05	1.09E-03
response to biotic stimulus (GO:0009607)	1547	303	406.30	-	.75	6.74E-07	3.28E-05
cell migration (GO:0016477)	968	189	254.23	-	.74	9.81E-05	3.06E-03
regulation of defense response (GO:0031347)	852	166	223.77	-	.74	2.45E-04	6.79E-03
ion transport (GO:0006811)	1200	232	315.16	-	.74	6.98E-06	2.80E-04
inorganic cation transmembrane transport (GO:0098662)	573	110	150.49	-	.73	1.88E-03	4.07E-02
ion transmembrane transport (GO:0034220)	870	166	228.49	-	.73	7.81E-05	2.54E-03
positive regulation of immune system process (GO:0002684)	1069	203	280.76	-	.72	7.88E-06	3.13E-04
endocytosis (GO:0006897)	569	108	149.44	-	.72	1.30E-03	2.97E-02
regulation of leukocyte activation (GO:0002694)	622	117	163.36	-	.72	5.58E-04	1.41E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	492	92	129.22	-	.71	1.96E-03	4.20E-02
regulation of immune response (GO:0050776)	1183	221	310.70	-	.71	9.09E-07	4.31E-05
regulation of cell activation (GO:0050865)	664	124	174.39	-	.71	2.99E-04	8.09E-03
regulation of lymphocyte activation (GO:0051249)	536	100	140.77	-	.71	1.09E-03	2.55E-02
positive regulation of cytokine production (GO:0001819)	489	91	128.43	-	.71	1.88E-03	4.07E-02
regulation of hormone levels (GO:0010817)	538	100	141.30	-	.71	1.09E-03	2.56E-02
immune response-regulating signaling pathway (GO:0002764)	495	92	130.01	-	.71	1.68E-03	3.71E-02
inorganic ion transmembrane transport (GO:0098660)	637	117	167.30	-	.70	2.20E-04	6.19E-03
response to other organism (GO:0051707)	1425	257	374.26	-	.69	2.78E-09	1.90E-07
response to external biotic stimulus (GO:0043207)	1426	257	374.52	-	.69	2.78E-09	1.90E-07
positive regulation of immune response (GO:0050778)	747	134	196.19	-	.68	1.93E-05	7.26E-04
epithelial cell differentiation (GO:0030855)	686	123	180.17	-	.68	4.16E-05	1.44E-03
activation of immune response (GO:0002253)	530	94	139.20	-	.68	2.60E-04	7.14E-03
immune response (GO:0006955)	2075	366	544.97	-	.67	1.76E-14	1.88E-12
anion transport (GO:0006820)	460	81	120.81	-	.67	5.95E-04	1.49E-02
immune response-activating cell surface receptor signaling pathway (GO:0002429)	455	80	119.50	-	.67	5.60E-04	1.41E-02
immune response-activating signal transduction (GO:0002757)	455	80	119.50	-	.67	5.60E-04	1.41E-02
regulation of system process (GO:0044057)	585	102	153.64	-	.66	6.09E-05	2.02E-03
taxis (GO:0042330)	550	95	144.45	-	.66	8.15E-05	2.63E-03
chemotaxis (GO:0006935)	547	94	143.66	-	.65	6.39E-05	2.11E-03
circulatory system process (GO:0003013)	481	82	126.33	-	.65	1.52E-04	4.53E-03
calcium ion homeostasis (GO:0055074)	438	73	115.03	-	.63	1.74E-04	5.09E-03
divalent inorganic cation homeostasis (GO:0072507)	481	80	126.33	-	.63	7.62E-05	2.49E-03
positive regulation of cell activation (GO:0050867)	440	73	115.56	-	.63	1.44E-04	4.32E-03
Unclassified (UNCLASSIFIED)	2744	455	720.67	-	.63	3.27E-24	7.09E-22
positive regulation of leukocyte activation (GO:0002696)	429	71	112.67	-	.63	1.50E-04	4.49E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	76	120.81	-	.63	8.30E-05	2.66E-03
cellular calcium ion homeostasis (GO:0006874)	425	70	111.62	-	.63	1.39E-04	4.20E-03
phagocytosis (GO:0006909)	329	54	86.41	-	.62	9.37E-04	2.24E-02
regulation of ion transport (GO:0043269)	703	115	184.63	-	.62	5.60E-07	2.76E-05
epidermis development (GO:0008544)	422	69	110.83	-	.62	1.29E-04	3.92E-03
muscle system process (GO:0003012)	288	47	75.64	-	.62	1.77E-03	3.86E-02
skin development (GO:0043588)	385	62	101.12	-	.61	1.63E-04	4.82E-03
negative regulation of immune system process (GO:0002683)	597	95	156.79	-	.61	1.50E-06	6.78E-05
positive regulation of lymphocyte activation (GO:0051251)	384	61	100.85	-	.60	1.23E-04	3.75E-03
extracellular structure organization (GO:0043062)	384	61	100.85	-	.60	1.23E-04	3.74E-03
extracellular matrix organization (GO:0030198)	383	60	100.59	-	.60	9.19E-05	2.90E-03
external encapsulating structure organization (GO:0045229)	386	60	101.38	-	.59	6.04E-05	2.01E-03
cell adhesion (GO:0007155)	953	148	250.29	-	.59	1.55E-10	1.20E-08
synaptic signaling (GO:0099536)	464	72	121.86	-	.59	9.77E-06	3.82E-04
positive regulation of ion transport (GO:0043270)	297	46	78.00	-	.59	4.75E-04	1.22E-02
biological adhesion (GO:0022610)	959	148	251.87	-	.59	8.18E-11	6.50E-09
defense response to other organism (GO:0098542)	1038	160	272.62	-	.59	1.02E-11	8.64E-10
defense response (GO:0006952)	1426	218	374.52	-	.58	4.14E-16	5.03E-14
innate immune response (GO:0045087)	848	129	222.72	-	.58	5.16E-10	3.81E-08
regulation of blood circulation (GO:1903522)	278	42	73.01	-	.58	5.01E-04	1.28E-02
cell-cell adhesion (GO:0098609)	515	75	135.26	-	.55	3.32E-07	1.71E-05
muscle contraction (GO:0006936)	241	35	63.30	-	.55	5.72E-04	1.43E-02
blood circulation (GO:0008015)	390	56	102.43	-	.55	6.95E-06	2.80E-04
chemical synaptic transmission (GO:0007268)	414	59	108.73	-	.54	2.47E-06	1.09E-04
anterograde trans-synaptic signaling (GO:0098916)	414	59	108.73	-	.54	2.47E-06	1.09E-04
trans-synaptic signaling (GO:0099537)	432	61	113.46	-	.54	9.89E-07	4.65E-05
hormone metabolic process (GO:0042445)	199	28	52.26	-	.54	1.28E-03	2.94E-02
regulation of immune effector process (GO:0002697)	435	61	114.25	-	.53	7.82E-07	3.76E-05
regulation of cytosolic calcium ion concentration (GO:0051480)	321	45	84.31	-	.53	2.31E-05	8.46E-04
epidermal cell differentiation (GO:0009913)	322	45	84.57	-	.53	2.32E-05	8.47E-04
negative regulation of immune response (GO:0050777)	373	52	97.96	-	.53	4.20E-06	1.76E-04
system process (GO:0003008)	2057	285	540.24	-	.53	5.13E-30	1.69E-27
negative regulation of response to external stimulus (GO:0032102)	559	77	146.81	-	.52	8.06E-09	5.20E-07
negative regulation of defense response (GO:0031348)	402	55	105.58	-	.52	9.25E-07	4.38E-05
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	198	27	52.00	-	.52	6.83E-04	1.69E-02
regulation of inflammatory response (GO:0050727)	518	70	136.05	-	.51	1.33E-08	8.24E-07
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	38	74.33	-	.51	3.01E-05	1.07E-03
regulation of B cell activation (GO:0050864)	216	29	56.73	-	.51	3.43E-04	9.12E-03
cell chemotaxis (GO:0060326)	203	27	53.32	-	.51	4.18E-04	1.10E-02
leukocyte migration (GO:0050900)	379	50	99.54	-	.50	7.47E-07	3.60E-05
response to bacterium (GO:0009617)	721	94	189.36	-	.50	2.25E-12	2.02E-10
visual perception (GO:0007601)	217	28	56.99	-	.49	1.37E-04	4.13E-03
inflammatory response (GO:0006954)	498	64	130.79	-	.49	4.30E-09	2.87E-07
regulation of blood pressure (GO:0008217)	188	24	49.38	-	.49	3.39E-04	9.03E-03
sensory perception of light stimulus (GO:0050953)	220	28	57.78	-	.48	1.06E-04	3.27E-03
immunoglobulin production (GO:0002377)	138	17	36.24	-	.47	1.94E-03	4.18E-02
membrane invagination (GO:0010324)	148	18	38.87	-	.46	1.02E-03	2.41E-02
production of molecular mediator of immune response (GO:0002440)	141	17	37.03	-	.46	1.11E-03	2.59E-02
cell killing (GO:0001906)	126	15	33.09	-	.45	2.36E-03	4.89E-02
nervous system process (GO:0050877)	1416	167	371.89	-	.45	1.04E-28	3.28E-26
detection of abiotic stimulus (GO:0009582)	139	16	36.51	-	.44	6.92E-04	1.71E-02
potassium ion transport (GO:0006813)	167	19	43.86	-	.43	1.79E-04	5.17E-03
detection of external stimulus (GO:0009581)	137	15	35.98	-	.42	4.20E-04	1.10E-02
sodium ion transmembrane transport (GO:0035725)	119	13	31.25	-	.42	1.15E-03	2.68E-02
antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	102	11	26.79	-	.41	2.38E-03	4.89E-02
potassium ion transmembrane transport (GO:0071805)	158	17	41.50	-	.41	1.15E-04	3.51E-03
keratinocyte differentiation (GO:0030216)	270	29	70.91	-	.41	4.06E-07	2.05E-05
negative regulation of inflammatory response (GO:0050728)	320	34	84.04	-	.40	2.21E-08	1.34E-06
regulation of interferon-gamma production (GO:0032649)	113	12	29.68	-	.40	1.24E-03	2.85E-02
digestion (GO:0007586)	114	12	29.94	-	.40	1.27E-03	2.92E-02
positive regulation of B cell activation (GO:0050871)	171	18	44.91	-	.40	4.47E-05	1.53E-03
myeloid leukocyte migration (GO:0097529)	124	13	32.57	-	.40	6.49E-04	1.61E-02
regulation of systemic arterial blood pressure (GO:0003073)	100	10	26.26	-	.38	1.37E-03	3.12E-02
monocarboxylic acid transport (GO:0015718)	100	10	26.26	-	.38	1.37E-03	3.11E-02
phenol-containing compound metabolic process (GO:0018958)	92	9	24.16	-	.37	1.96E-03	4.20E-02
chloride transport (GO:0006821)	103	10	27.05	-	.37	1.02E-03	2.40E-02
lymphocyte mediated immunity (GO:0002449)	259	25	68.02	-	.37	5.83E-08	3.27E-06
cell recognition (GO:0008037)	241	23	63.30	-	.36	1.57E-07	8.45E-06
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	25	70.65	-	.35	1.23E-08	7.72E-07
neutrophil migration (GO:1990266)	87	8	22.85	-	.35	2.10E-03	4.46E-02
killing of cells of other organism (GO:0031640)	87	8	22.85	-	.35	2.10E-03	4.46E-02
antimicrobial humoral response (GO:0019730)	154	14	40.45	-	.35	2.14E-05	7.95E-04
chemokine-mediated signaling pathway (GO:0070098)	80	7	21.01	-	.33	2.09E-03	4.46E-02
regulation of leukocyte mediated cytotoxicity (GO:0001910)	82	7	21.54	-	.33	1.50E-03	3.35E-02
plasma membrane invagination (GO:0099024)	141	12	37.03	-	.32	2.11E-05	7.87E-04
immunoglobulin mediated immune response (GO:0016064)	201	17	52.79	-	.32	2.23E-07	1.18E-05
granulocyte migration (GO:0097530)	95	8	24.95	-	.32	5.59E-04	1.41E-02
leukocyte chemotaxis (GO:0030595)	143	12	37.56	-	.32	1.51E-05	5.75E-04
B cell mediated immunity (GO:0019724)	205	17	53.84	-	.32	1.15E-07	6.26E-06
adenylate cyclase-activating G protein-coupled receptor signaling pathway (GO:0007189)	134	11	35.19	-	.31	2.05E-05	7.65E-04
sensory perception (GO:0007600)	979	80	257.12	-	.31	3.11E-33	1.23E-30
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	222	18	58.31	-	.31	2.25E-08	1.35E-06
positive regulation of interferon-gamma production (GO:0032729)	74	6	19.44	-	.31	2.11E-03	4.47E-02
dorsal/ventral pattern formation (GO:0009953)	76	6	19.96	-	.30	1.49E-03	3.34E-02
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	258	20	67.76	-	.30	6.07E-10	4.47E-08
regulation of inflammatory response to antigenic stimulus (GO:0002861)	222	17	58.31	-	.29	7.84E-09	5.08E-07
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	208	15	54.63	-	.27	9.92E-09	6.27E-07
cornification (GO:0070268)	113	8	29.68	-	.27	2.51E-05	9.05E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	7	26.26	-	.27	6.72E-05	2.20E-03
adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway (GO:0007193)	86	6	22.59	-	.27	2.58E-04	7.10E-03
G protein-coupled receptor signaling pathway (GO:0007186)	1305	89	342.74	-	.26	5.89E-53	5.82E-50
phagocytosis, engulfment (GO:0006911)	132	9	34.67	-	.26	3.27E-06	1.40E-04
adaptive immune response (GO:0002250)	658	44	172.81	-	.25	2.95E-27	8.47E-25
defense response to Gram-negative bacterium (GO:0050829)	91	6	23.90	-	.25	1.29E-04	3.91E-03
defense response to bacterium (GO:0042742)	350	23	91.92	-	.25	3.79E-15	4.25E-13
regulation of amine transport (GO:0051952)	92	6	24.16	-	.25	8.75E-05	2.78E-03
neutrophil chemotaxis (GO:0030593)	77	5	20.22	-	.25	3.39E-04	9.04E-03
regulation of humoral immune response (GO:0002920)	142	9	37.29	-	.24	5.41E-07	2.68E-05
chloride transmembrane transport (GO:1902476)	65	4	17.07	-	.23	9.15E-04	2.20E-02
granulocyte chemotaxis (GO:0071621)	82	5	21.54	-	.23	1.63E-04	4.82E-03
regulation of postsynaptic membrane potential (GO:0060078)	99	6	26.00	-	.23	2.98E-05	1.06E-03
detection of stimulus (GO:0051606)	721	43	189.36	-	.23	8.93E-33	3.44E-30
humoral immune response (GO:0006959)	386	23	101.38	-	.23	5.24E-18	7.73E-16
regulation of complement activation (GO:0030449)	118	7	30.99	-	.23	3.80E-06	1.60E-04
sensory perception of taste (GO:0050909)	69	4	18.12	-	.22	4.33E-04	1.12E-02
natural killer cell activation (GO:0030101)	58	3	15.23	-	.20	7.92E-04	1.94E-02
peptide cross-linking (GO:0018149)	102	5	26.79	-	.19	3.69E-06	1.56E-04
neuropeptide signaling pathway (GO:0007218)	109	5	28.63	-	.17	1.18E-06	5.48E-05
keratinization (GO:0031424)	227	10	59.62	-	.17	3.72E-13	3.63E-11
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	7	43.86	-	.16	3.84E-10	2.87E-08
catecholamine metabolic process (GO:0006584)	48	2	12.61	-	.16	1.40E-03	3.16E-02
catechol-containing compound metabolic process (GO:0009712)	48	2	12.61	-	.16	1.40E-03	3.15E-02
B cell receptor signaling pathway (GO:0050853)	129	5	33.88	-	.15	2.23E-08	1.34E-06
regulation of catecholamine secretion (GO:0050433)	56	2	14.71	-	.14	2.75E-04	7.52E-03
detection of biotic stimulus (GO:0009595)	38	1	9.98	-	.10	2.36E-03	4.89E-02
complement activation, classical pathway (GO:0006958)	161	4	42.28	-	.09	5.81E-12	5.00E-10
sensory perception of bitter taste (GO:0050913)	41	1	10.77	-	.09	9.89E-04	2.35E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	165	4	43.34	-	.09	2.51E-12	2.23E-10
detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	42	1	11.03	-	.09	1.01E-03	2.38E-02
complement activation (GO:0006956)	177	4	46.49	-	.09	1.99E-13	2.02E-11
detection of stimulus involved in sensory perception (GO:0050906)	557	12	146.29	-	.08	2.33E-41	1.19E-38
lymphocyte chemotaxis (GO:0048247)	49	1	12.87	-	.08	1.77E-04	5.16E-03
phagocytosis, recognition (GO:0006910)	106	2	27.84	-	.07	7.28E-09	4.77E-07
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	1	17.60	-	.06	3.56E-06	1.51E-04
sensory perception of chemical stimulus (GO:0007606)	543	8	142.61	-	.06	3.95E-44	2.50E-41
detection of chemical stimulus (GO:0009593)	522	6	137.10	-	.04	1.91E-44	1.26E-41
sensory perception of smell (GO:0007608)	468	4	122.91	-	.03	8.51E-42	4.48E-39
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	1	127.64	-	 < 0.01	2.94E-48	2.32E-45
monocyte chemotaxis (GO:0002548)	42	0	11.03	-	 < 0.01	8.03E-05	2.60E-03
serotonin receptor signaling pathway (GO:0007210)	39	0	10.24	-	 < 0.01	2.06E-04	5.86E-03
detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	36	0	9.45	-	 < 0.01	3.19E-04	8.57E-03
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	115.82	-	 < 0.01	1.18E-45	8.89E-43
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	0	8.93	-	 < 0.01	5.05E-04	1.29E-02
opsonization (GO:0008228)	72	0	18.91	-	 < 0.01	8.56E-08	4.71E-06
plasma lipoprotein particle remodeling (GO:0034369)	32	0	8.40	-	 < 0.01	8.02E-04	1.96E-02
protein-lipid complex remodeling (GO:0034368)	32	0	8.40	-	 < 0.01	8.02E-04	1.96E-02
